participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P07,valence,1,5,92,24,24,92,svm,time_statistical,all_channels,all,primary,8,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5187499999999999,0.5,False
P07,valence,1,5,92,24,24,92,svm,time_statistical,all_channels,all,primary,8,2,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5208333333333334,0.5,False
P07,valence,1,5,92,24,24,92,svm,time_statistical,all_channels,all,primary,8,3,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.560171568627451,0.5,False
P07,valence,1,5,92,24,24,92,gnb,time_statistical,all_channels,all,primary,8,1,"{""classifier__var_smoothing"": 1e-11}",0.41875,0.5333333333333333,False
P07,valence,1,5,92,24,24,92,gnb,time_statistical,all_channels,all,primary,8,2,"{""classifier__var_smoothing"": 1e-11}",0.4485294117647059,0.5892857142857143,False
P07,valence,1,5,92,24,24,92,gnb,time_statistical,all_channels,all,primary,8,3,"{""classifier__var_smoothing"": 1e-11}",0.44264705882352945,0.375,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.56875,0.5066666666666667,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5416666666666666,0.5,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.47450980392156855,0.375,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.525,0.5,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.542279411764706,0.5,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5286764705882353,0.5,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,all_channels,8,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.4916666666666667,0.36333333333333334,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,all_channels,8,secondary,64,2,"{""classifier__var_smoothing"": 1e-11}",0.5122549019607843,0.5178571428571428,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,all_channels,8,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.47450980392156855,0.5833333333333333,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5145833333333333,0.4433333333333333,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5637254901960784,0.5,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5313725490196078,0.5,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5583333333333333,0.5,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5428921568627451,0.5,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5188725490196079,0.5,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,all_channels,10,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.525,0.42333333333333334,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,all_channels,10,secondary,64,2,"{""classifier__var_smoothing"": 1e-11}",0.40870098039215685,0.48809523809523814,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,all_channels,10,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.432843137254902,0.5625,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5145833333333333,0.5033333333333333,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.542279411764706,0.5,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5259803921568628,0.47916666666666663,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5354166666666667,0.5,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.542279411764706,0.5,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5317401960784314,0.5,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__var_smoothing"": 1e-11}",0.47291666666666665,0.5266666666666666,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__var_smoothing"": 1e-11}",0.4393382352941176,0.6101190476190476,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__var_smoothing"": 1e-11}",0.48492647058823524,0.47916666666666663,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,frontal_central,10,secondary,32,1,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5020833333333333,0.5233333333333333,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,frontal_central,10,secondary,32,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5030637254901961,0.5,False
P07,valence,1,5,92,24,24,92,logreg,paper_compact,frontal_central,10,secondary,32,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5495098039215686,0.4583333333333333,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,frontal_central,10,secondary,32,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5145833333333333,0.5,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,frontal_central,10,secondary,32,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5337009803921569,0.5,False
P07,valence,1,5,92,24,24,92,svm,paper_compact,frontal_central,10,secondary,32,3,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5186274509803921,0.5,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,frontal_central,10,secondary,32,1,"{""classifier__var_smoothing"": 1e-11}",0.49583333333333335,0.5066666666666667,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,frontal_central,10,secondary,32,2,"{""classifier__var_smoothing"": 1e-11}",0.4705882352941176,0.6101190476190476,False
P07,valence,1,5,92,24,24,92,gnb,paper_compact,frontal_central,10,secondary,32,3,"{""classifier__var_smoothing"": 1e-11}",0.4757352941176471,0.5416666666666666,False
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.4604166666666667,0.48333333333333334,False
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5884803921568628,0.4375,False
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.4042892156862745,0.5357142857142857,False
P07,valence,2,5,93,23,24,92,svm,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P07,valence,2,5,93,23,24,92,svm,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5890931372549019,0.5,False
P07,valence,2,5,93,23,24,92,svm,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.4791666666666667,False
P07,valence,2,5,93,23,24,92,gnb,all_eeg,all_channels,8,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.4916666666666667,0.38666666666666666,False
P07,valence,2,5,93,23,24,92,gnb,all_eeg,all_channels,8,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.6036764705882353,0.5267857142857143,False
P07,valence,2,5,93,23,24,92,gnb,all_eeg,all_channels,8,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.43014705882352944,0.5059523809523809,False
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.4708333333333334,0.5233333333333333,True
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5780637254901961,0.5089285714285714,True
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.39767156862745096,0.6101190476190476,True
P07,valence,2,5,93,23,24,92,svm,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5041666666666667,0.5,False
P07,valence,2,5,93,23,24,92,svm,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5780637254901961,0.5,False
P07,valence,2,5,93,23,24,92,svm,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.4791666666666667,False
P07,valence,2,5,93,23,24,92,gnb,all_eeg,all_channels,10,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.48125,0.4066666666666666,False
P07,valence,2,5,93,23,24,92,gnb,all_eeg,all_channels,10,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.526593137254902,0.5267857142857143,False
P07,valence,2,5,93,23,24,92,gnb,all_eeg,all_channels,10,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.45183823529411765,0.45535714285714285,False
P07,valence,2,5,93,23,24,92,logreg,hjorth,all_channels,8,primary,16,1,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.5479166666666666,0.49,False
P07,valence,2,5,93,23,24,92,logreg,hjorth,all_channels,8,primary,16,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.6302696078431372,0.43154761904761907,False
P07,valence,2,5,93,23,24,92,logreg,hjorth,all_channels,8,primary,16,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.4818627450980392,0.45535714285714285,False
P07,valence,2,5,93,23,24,92,svm,hjorth,all_channels,8,primary,16,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.6020833333333333,0.5,False
P07,valence,2,5,93,23,24,92,svm,hjorth,all_channels,8,primary,16,2,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6189950980392157,0.5,False
